Desc	Family ID	Mycoplasma_agalactiae	Mycoplasma_arthritidis	Mycoplasma_gallisepticum	Mycoplasma_genitalium	Mycoplasma_haemocanis	Mycoplasma_hyopneumoniae
(null)	OG0000233	1	1	1	1	1	1
(null)	OG0000234	1	1	1	1	1	1
(null)	OG0000235	1	1	1	1	1	1
(null)	OG0000236	1	1	1	1	1	1
(null)	OG0000237	1	1	1	1	1	1
(null)	OG0000238	1	1	1	1	1	1
(null)	OG0000239	1	1	1	1	1	1
(null)	OG0000240	1	1	1	1	1	1
(null)	OG0000241	1	1	1	1	1	1
(null)	OG0000242	1	1	1	1	1	1
(null)	OG0000243	1	1	1	1	1	1
(null)	OG0000248	1	1	1	1	0	1
(null)	OG0000249	1	1	1	1	0	1
(null)	OG0000250	1	1	1	1	0	1
(null)	OG0000251	1	1	1	1	0	1
(null)	OG0000252	1	1	1	1	0	1
(null)	OG0000253	1	1	1	1	0	1
(null)	OG0000254	1	2	1	0	0	1
(null)	OG0000255	1	1	1	0	1	1
(null)	OG0000256	1	1	1	0	1	1
(null)	OG0000257	1	1	1	1	0	1
(null)	OG0000258	1	1	1	1	0	1
(null)	OG0000259	1	1	1	1	0	1
(null)	OG0000260	1	0	1	1	1	1
(null)	OG0000261	1	1	1	1	0	1
(null)	OG0000262	1	1	1	1	0	1
(null)	OG0000263	1	1	1	1	0	1
(null)	OG0000264	1	1	1	1	0	1
(null)	OG0000265	2	2	0	0	0	1
(null)	OG0000266	1	1	1	1	0	1
(null)	OG0000267	1	1	1	1	0	1
(null)	OG0000268	1	1	1	1	0	1
(null)	OG0000269	1	1	1	1	0	1
(null)	OG0000270	1	1	1	1	1	0
(null)	OG0000271	1	1	1	1	0	1
(null)	OG0000272	1	0	1	1	1	1
(null)	OG0000273	1	1	1	1	0	1
(null)	OG0000274	1	1	1	1	0	1
(null)	OG0000275	1	1	1	1	0	1
(null)	OG0000276	1	1	1	1	0	1
(null)	OG0000277	1	1	1	1	0	1
(null)	OG0000278	1	1	1	1	0	1
(null)	OG0000279	1	1	0	1	1	1
(null)	OG0000280	1	1	1	1	0	1
(null)	OG0000281	2	0	1	1	0	1
(null)	OG0000282	1	1	1	1	0	1
(null)	OG0000283	1	1	1	1	0	1
(null)	OG0000284	1	1	1	1	0	1
(null)	OG0000285	1	1	1	0	1	1
(null)	OG0000286	1	1	1	1	0	1
(null)	OG0000287	1	1	1	1	0	1
(null)	OG0000288	1	1	1	1	0	1
(null)	OG0000289	1	1	1	1	0	1
(null)	OG0000290	1	1	1	1	0	1
(null)	OG0000291	1	1	1	0	1	1
(null)	OG0000292	1	1	1	1	0	1
(null)	OG0000293	1	1	1	1	0	1
(null)	OG0000294	2	1	0	0	1	1
(null)	OG0000295	1	1	1	1	0	1
(null)	OG0000297	1	2	1	0	0	1
(null)	OG0000298	1	2	1	0	0	1
(null)	OG0000299	1	2	1	0	0	1
(null)	OG0000300	1	1	1	1	0	1
(null)	OG0000301	1	1	1	1	0	1
(null)	OG0000302	1	1	1	1	0	1
(null)	OG0000303	1	1	1	1	0	1
(null)	OG0000304	1	1	1	1	0	1
(null)	OG0000305	1	1	1	1	0	1
(null)	OG0000306	1	0	1	1	1	1
(null)	OG0000307	1	1	1	0	0	2
(null)	OG0000308	1	0	1	1	1	1
(null)	OG0000309	1	0	1	1	1	1
(null)	OG0000310	1	1	1	1	0	1
(null)	OG0000311	1	0	1	1	1	1
(null)	OG0000312	1	1	1	1	0	1
(null)	OG0000313	1	1	1	1	0	1
(null)	OG0000314	1	1	1	1	0	1
(null)	OG0000315	1	1	1	1	0	1
(null)	OG0000316	1	1	1	1	0	1
(null)	OG0000317	1	1	1	1	0	1
(null)	OG0000318	1	0	1	1	1	1
(null)	OG0000319	1	1	1	1	0	1
(null)	OG0000320	1	2	1	0	0	1
(null)	OG0000321	1	1	1	1	0	1
(null)	OG0000322	1	0	1	1	1	1
(null)	OG0000323	1	1	1	1	0	1
(null)	OG0000324	1	1	1	1	0	1
(null)	OG0000325	1	1	1	1	0	1
(null)	OG0000326	1	1	1	1	0	1
(null)	OG0000327	1	1	1	1	0	1
(null)	OG0000328	1	1	1	1	0	1
(null)	OG0000329	1	1	1	1	0	1
(null)	OG0000330	0	1	1	1	1	1
(null)	OG0000331	0	0	3	2	0	0
(null)	OG0000332	0	0	2	3	0	0
(null)	OG0000337	0	1	1	1	1	0
(null)	OG0000338	2	1	0	0	0	1
(null)	OG0000339	2	0	0	1	0	1
(null)	OG0000340	1	1	0	0	0	2
(null)	OG0000341	1	1	0	1	0	1
(null)	OG0000342	1	0	1	1	0	1
(null)	OG0000343	2	1	0	0	0	1
(null)	OG0000344	1	0	1	1	0	1
(null)	OG0000345	2	1	0	0	0	1
(null)	OG0000346	1	0	1	1	1	0
(null)	OG0000347	1	0	1	1	0	1
(null)	OG0000348	1	0	1	1	0	1
(null)	OG0000349	1	0	1	1	0	1
(null)	OG0000350	1	0	1	1	0	1
(null)	OG0000351	1	1	1	0	0	1
(null)	OG0000352	1	1	1	1	0	0
(null)	OG0000353	1	1	1	1	0	0
(null)	OG0000354	1	1	1	1	0	0
(null)	OG0000355	1	0	1	1	0	1
(null)	OG0000356	1	1	1	1	0	0
(null)	OG0000357	1	1	1	1	0	0
(null)	OG0000358	1	1	1	0	0	1
(null)	OG0000359	2	0	1	0	0	1
(null)	OG0000360	2	0	1	0	0	1
(null)	OG0000361	2	0	1	0	0	1
(null)	OG0000362	1	0	1	1	0	1
(null)	OG0000366	3	0	0	0	0	1
(null)	OG0000367	3	0	0	0	0	1
(null)	OG0000369	1	2	1	0	0	0
(null)	OG0000370	2	1	0	0	0	1
(null)	OG0000371	1	1	1	1	0	0
(null)	OG0000372	1	1	1	0	0	1
(null)	OG0000373	1	1	1	1	0	0
(null)	OG0000374	1	1	1	1	0	0
(null)	OG0000375	1	1	1	0	0	1
(null)	OG0000376	1	0	1	1	0	1
(null)	OG0000377	1	0	1	1	1	0
(null)	OG0000378	1	1	0	0	1	1
(null)	OG0000379	3	0	1	0	0	0
(null)	OG0000380	1	1	1	1	0	0
(null)	OG0000381	1	2	1	0	0	0
(null)	OG0000382	1	1	1	0	0	1
(null)	OG0000383	1	1	1	0	0	1
(null)	OG0000384	1	1	1	0	0	1
(null)	OG0000385	1	1	1	0	0	1
(null)	OG0000386	1	1	1	0	0	1
(null)	OG0000387	1	1	1	1	0	0
(null)	OG0000388	1	1	1	1	0	0
(null)	OG0000390	0	1	1	1	0	1
(null)	OG0000394	0	1	1	1	1	0
(null)	OG0000395	0	1	1	1	1	0
(null)	OG0000396	0	1	1	1	1	0
(null)	OG0000397	0	0	1	1	1	1
(null)	OG0000398	0	0	1	1	1	1
(null)	OG0000399	0	0	1	2	0	1
(null)	OG0000400	0	0	1	1	1	1
(null)	OG0000401	0	0	2	2	0	0
(null)	OG0000408	0	0	1	1	0	1
(null)	OG0000409	1	1	0	0	0	1
(null)	OG0000410	1	1	0	0	0	1
(null)	OG0000411	1	1	0	0	0	1
(null)	OG0000412	1	0	1	1	0	0
(null)	OG0000413	1	1	0	0	0	1
(null)	OG0000414	0	0	2	0	0	1
(null)	OG0000415	1	0	1	0	0	1
(null)	OG0000416	1	1	0	0	0	1
(null)	OG0000417	1	0	1	0	0	1
(null)	OG0000418	1	1	0	0	0	1
(null)	OG0000419	1	1	0	0	0	1
(null)	OG0000421	1	0	0	1	1	0
(null)	OG0000422	1	0	1	0	0	1
(null)	OG0000423	1	0	1	0	0	1
(null)	OG0000424	1	0	1	0	0	1
(null)	OG0000425	1	0	1	0	0	1
(null)	OG0000426	1	0	1	0	0	1
(null)	OG0000427	1	0	1	0	0	1
(null)	OG0000428	1	1	0	0	0	1
(null)	OG0000429	1	1	1	0	0	0
(null)	OG0000430	1	0	1	1	0	0
(null)	OG0000431	1	1	1	0	0	0
(null)	OG0000432	1	1	0	1	0	0
(null)	OG0000433	1	1	0	0	0	1
(null)	OG0000434	1	1	0	0	0	1
(null)	OG0000435	1	1	0	0	0	1
(null)	OG0000436	1	0	0	0	0	2
(null)	OG0000437	2	0	0	0	0	1
(null)	OG0000439	1	1	0	0	0	1
(null)	OG0000440	1	1	0	0	0	1
(null)	OG0000441	1	1	0	0	0	1
(null)	OG0000442	1	1	1	0	0	0
(null)	OG0000443	1	1	0	0	0	1
(null)	OG0000444	1	1	0	0	0	1
(null)	OG0000445	1	1	0	0	0	1
(null)	OG0000446	1	1	1	0	0	0
(null)	OG0000447	1	0	1	0	0	1
(null)	OG0000448	1	1	0	0	0	1
(null)	OG0000461	1	1	1	0	0	0
(null)	OG0000462	1	0	0	0	1	1
(null)	OG0000463	1	1	0	0	0	1
(null)	OG0000466	1	1	0	0	0	1
(null)	OG0000468	1	1	0	0	0	1
(null)	OG0000469	1	1	0	0	0	1
(null)	OG0000470	1	0	1	0	0	1
(null)	OG0000471	1	0	1	0	0	1
(null)	OG0000472	1	0	1	0	0	1
(null)	OG0000473	1	1	0	0	0	1
(null)	OG0000474	1	1	0	0	0	1
(null)	OG0000475	1	1	1	0	0	0
(null)	OG0000476	1	0	1	0	1	0
(null)	OG0000477	1	0	1	1	0	0
(null)	OG0000478	1	1	0	0	0	1
(null)	OG0000479	1	1	0	0	0	1
(null)	OG0000480	1	1	0	0	0	1
(null)	OG0000481	1	0	0	0	0	2
(null)	OG0000482	1	1	0	0	0	1
(null)	OG0000483	1	0	1	0	0	1
(null)	OG0000486	0	1	0	1	0	1
(null)	OG0000488	0	0	1	1	0	1
(null)	OG0000489	0	0	1	1	0	1
(null)	OG0000490	0	0	1	2	0	0
(null)	OG0000491	0	0	1	1	1	0
(null)	OG0000492	0	0	1	0	1	1
(null)	OG0000493	0	0	1	1	1	0
(null)	OG0000494	0	0	1	1	1	0
(null)	OG0000495	0	0	2	1	0	0
(null)	OG0000496	0	0	1	1	1	0
(null)	OG0000497	0	0	1	1	0	1
(null)	OG0000498	0	0	1	1	1	0
(null)	OG0000499	0	0	1	1	1	0
(null)	OG0000500	0	0	1	2	0	0
(null)	OG0000501	0	0	1	1	1	0
(null)	OG0000502	0	0	1	0	1	1
(null)	OG0000503	0	0	2	0	0	1
(null)	OG0000504	0	0	1	0	2	0
(null)	OG0000505	0	0	1	1	1	0
(null)	OG0000506	0	0	1	2	0	0
(null)	OG0000507	0	0	1	1	1	0
(null)	OG0000508	0	0	1	1	1	0
(null)	OG0000509	0	0	1	1	1	0
(null)	OG0000510	0	0	1	1	0	1
(null)	OG0000511	0	0	1	1	1	0
(null)	OG0000512	0	0	0	2	0	1
(null)	OG0000527	0	0	1	1	0	0
(null)	OG0000528	0	0	1	0	1	0
(null)	OG0000530	0	0	1	0	0	1
(null)	OG0000531	1	0	0	0	0	1
(null)	OG0000532	1	0	0	0	0	1
(null)	OG0000533	1	0	0	0	0	1
(null)	OG0000534	1	0	0	0	0	1
(null)	OG0000536	1	1	0	0	0	0
(null)	OG0000537	1	1	0	0	0	0
(null)	OG0000538	1	1	0	0	0	0
(null)	OG0000539	1	0	0	0	0	1
(null)	OG0000540	1	0	1	0	0	0
(null)	OG0000541	1	1	0	0	0	0
(null)	OG0000543	1	1	0	0	0	0
(null)	OG0000547	1	1	0	0	0	0
(null)	OG0000548	1	0	1	0	0	0
(null)	OG0000549	1	0	1	0	0	0
(null)	OG0000550	1	0	0	0	0	1
(null)	OG0000552	1	0	0	0	0	1
(null)	OG0000555	1	1	0	0	0	0
(null)	OG0000556	1	1	0	0	0	0
(null)	OG0000557	1	0	0	0	0	1
(null)	OG0000558	1	1	0	0	0	0
(null)	OG0000559	1	1	0	0	0	0
(null)	OG0000560	1	0	0	0	0	1
(null)	OG0000561	1	1	0	0	0	0
(null)	OG0000562	1	1	0	0	0	0
(null)	OG0000563	1	0	0	1	0	0
(null)	OG0000564	1	1	0	0	0	0
(null)	OG0000565	1	1	0	0	0	0
(null)	OG0000566	1	0	1	0	0	0
(null)	OG0000568	1	0	0	0	0	1
(null)	OG0000570	1	1	0	0	0	0
(null)	OG0000571	1	1	0	0	0	0
(null)	OG0000572	1	0	0	0	0	1
(null)	OG0000573	1	0	0	0	0	1
(null)	OG0000574	1	0	0	0	0	1
(null)	OG0000575	1	0	0	0	0	1
(null)	OG0000576	1	0	0	0	0	1
(null)	OG0000577	1	0	0	0	0	1
(null)	OG0000578	1	0	0	0	0	1
(null)	OG0000579	1	0	0	0	0	1
(null)	OG0000580	1	1	0	0	0	0
(null)	OG0000581	1	0	0	0	0	1
(null)	OG0000582	1	0	0	0	0	1
(null)	OG0000583	1	0	0	0	0	1
(null)	OG0000584	1	1	0	0	0	0
(null)	OG0000585	1	1	0	0	0	0
(null)	OG0000586	1	0	0	0	0	1
(null)	OG0000587	1	1	0	0	0	0
(null)	OG0000591	0	1	0	0	0	1
(null)	OG0000592	0	1	0	0	0	1
(null)	OG0000595	0	1	1	0	0	0
(null)	OG0000596	0	1	0	0	0	1
(null)	OG0000597	0	1	0	0	0	1
(null)	OG0000599	0	1	1	0	0	0
(null)	OG0000600	0	1	1	0	0	0
(null)	OG0000602	0	1	1	0	0	0
(null)	OG0000603	0	1	1	0	0	0
(null)	OG0000604	0	1	1	0	0	0
(null)	OG0000605	0	0	1	1	0	0
(null)	OG0000606	0	0	1	1	0	0
(null)	OG0000607	0	0	1	1	0	0
(null)	OG0000608	0	0	1	1	0	0
(null)	OG0000609	0	0	1	1	0	0
(null)	OG0000610	0	0	1	1	0	0
(null)	OG0000612	0	0	1	1	0	0
(null)	OG0000613	0	0	1	0	0	1
(null)	OG0000614	0	0	1	1	0	0
(null)	OG0000616	0	0	1	1	0	0
(null)	OG0000617	0	0	1	1	0	0
(null)	OG0000618	0	0	1	1	0	0
(null)	OG0000619	0	0	1	0	0	1
(null)	OG0000620	0	0	1	1	0	0
(null)	OG0000621	0	0	1	1	0	0
(null)	OG0000622	0	0	1	1	0	0
(null)	OG0000623	0	0	1	1	0	0
(null)	OG0000624	0	0	1	1	0	0
(null)	OG0000625	0	0	1	0	0	1
(null)	OG0000626	0	0	1	0	0	1
(null)	OG0000629	0	0	1	1	0	0
(null)	OG0000630	0	0	1	1	0	0
(null)	OG0000631	0	0	1	1	0	0
(null)	OG0000632	0	0	1	1	0	0
(null)	OG0000633	0	0	1	0	0	1
(null)	OG0000634	0	0	1	1	0	0
(null)	OG0000635	0	0	1	1	0	0
(null)	OG0000636	0	0	1	1	0	0
(null)	OG0000637	0	0	1	1	0	0
(null)	OG0000638	0	0	1	1	0	0
(null)	OG0000639	0	0	1	1	0	0
(null)	OG0000640	0	0	1	1	0	0
(null)	OG0000641	0	0	1	1	0	0
(null)	OG0000642	0	0	1	1	0	0
(null)	OG0000643	0	0	1	1	0	0
(null)	OG0000645	0	0	1	1	0	0
(null)	OG0000646	0	0	1	1	0	0
(null)	OG0000647	0	0	1	1	0	0
(null)	OG0000648	0	0	1	1	0	0
(null)	OG0000649	0	0	1	1	0	0
(null)	OG0000650	0	0	1	1	0	0
(null)	OG0000651	0	0	1	0	0	1
(null)	OG0000653	0	0	1	1	0	0
(null)	OG0000654	0	0	1	1	0	0
(null)	OG0000657	0	0	0	1	0	1
(null)	OG0000659	0	0	0	0	1	1
(null)	OG0000660	0	0	0	0	1	1
